,RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,playoffs_y_n,W_%
10,11,Miami Heat,2020,65,41,24,East,243.5,39.6,84.4,0.47,13.4,34.8,0.38299999999999995,26.3,49.6,0.53,19.5,25.1,0.778,8.5,36.0,26.0,7.4,4.5,14.9,20.4,112.2,0.5283401570299164,-0.10309013756624148,-0.5283401570199738,0.07132206197071358,0.09599432087639737,0.050287437734287344,0.5283401570299164,-0.1386550090288661,-0.1507526045017207,0.07132206197071358,0.10309013756624148,0.1282551806272057,0.022131979011039925,-0.1848049838703801,0.08304500794832746,0.11072798668933358,-0.04057794069979018,-0.0658074174360139,0.026652340850927728,-0.02213197901103994,0.00439301621773012,0,0.6307692307692307
11,12,Minnesota Timberwolves,2020,64,19,45,West,243.1,40.4,91.6,0.441,13.3,39.7,0.336,27.1,52.0,0.521,19.1,25.4,0.753,10.5,34.3,23.8,8.7,5.7,15.3,21.4,113.3,0.34041945616400265,-0.05483190401559862,0.38019959274354714,-0.3101435774956376,0.17084862940430295,0.3101435774956376,-0.3101435774956376,-0.15852595056560215,-0.17084862940430295,-0.036321689746141514,0.17084862940430295,0.3101435774956376,-0.12442591171839733,0.07378312647519415,-0.045532156278360957,-0.08348106314737079,0.3101435774956376,0.2449192844173325,0.17084862940430295,0.08348106314737079,0.12442591171839733,0,0.296875
12,13,Boston Celtics,2020,64,43,21,East,242.0,41.2,89.6,0.45899999999999996,12.4,34.2,0.363,28.8,55.4,0.519,18.3,22.8,0.8009999999999999,10.7,35.3,22.8,8.3,5.6,13.6,21.4,113.0,0.1953251440183152,0.1212875745631353,0.1212875745631353,-0.08596445121311505,0.1212875745631353,0.051317994951229365,0.1035223218697257,0.017063238137859017,-0.017063238137859565,-0.15761177081705002,0.15761177081705002,-0.051317994951229365,0.4981654018538951,0.27702727865600324,0.085964451213115,-0.37285861827353245,0.32256123732566755,0.3470052002478941,-0.32256123732566755,0.15761177081705002,0.13930212172363754,1,0.671875
13,14,Toronto Raptors,2020,64,46,18,East,241.6,40.6,88.5,0.45799999999999996,13.8,37.0,0.371,26.8,51.5,0.521,18.1,22.6,0.8,9.7,35.5,25.4,8.8,4.9,14.4,21.5,113.0,0.0,-0.025151358508228285,-0.08930581061722837,-0.1297881086406389,0.36680645312814775,0.23750654489401035,0.25550499140701716,-0.3166791381128798,-0.3166791381128798,-0.05049287820684739,0.08930581061722837,-0.08930581061722837,0.31667913811287973,-0.2039792268298752,0.1297881086406389,0.11605184625327293,0.5285374073966991,-0.03778618836165059,-0.07622499588151128,0.17297164449350624,0.10257018450602677,1,0.71875
14,15,Los Angeles Lakers,2020,63,49,14,West,240.8,42.9,88.6,0.485,11.2,31.4,0.355,31.8,57.1,0.556,17.3,23.7,0.73,10.6,35.5,25.9,8.6,6.8,15.1,20.6,114.3,-0.12841396417930237,0.21432287616201715,-0.020474953582363137,0.6127290491579243,-0.058319575935193366,-0.08271394599449951,-0.020474953582363137,0.19189835638722433,0.08936289864585671,0.21432287616201715,-0.020474953582363137,0.05831957593519338,-0.17483149593187106,0.06414922784314167,0.052629313169147325,0.08936289864585671,0.14874068122525047,0.6127290491579243,0.06414922784314167,-0.010198921437588247,0.09630933420533037,1,0.7777777777777778
15,16,Denver Nuggets,2020,65,43,22,West,242.3,41.8,88.9,0.47100000000000003,10.9,30.4,0.358,31.0,58.5,0.529,15.9,20.5,0.775,10.8,33.5,26.5,8.1,4.6,13.7,20.0,110.4,0.21137876139699713,0.16590971390417814,0.01205096312148819,0.26333251766402577,-0.22780984148656044,-0.30375004734202204,0.012050963121487493,0.303750047342022,0.303750047342022,0.1517384119308192,-0.30375004734202204,-0.3265757738569783,0.03624348787899875,0.26333251766402577,-0.13794896890300073,0.3518308094653191,0.12448923657854989,-0.11131378594631619,-0.1956513465824786,-0.12448923657854989,-0.11131378594631619,0,0.6615384615384615
16,17,San Antonio Spurs,2020,63,27,36,West,242.8,42.0,89.5,0.47,10.7,28.7,0.371,31.4,60.8,0.517,18.4,22.8,0.809,8.8,35.6,24.5,7.2,5.5,12.3,19.2,113.2,0.16165094612924236,0.14014137939887716,0.03231030793402634,0.10412253615521506,-0.16165094612924238,-0.22008258144820156,0.13042420112614433,0.18723876333571812,0.22008258144820156,-0.08829451208099287,0.07341424811570227,-0.01928820804451393,0.269795391257882,-0.18723876333571807,0.08829451208099287,0.025774421338787594,-0.09607174851557551,0.10412253615521506,-0.7713197793433596,-0.13042420112614436,0.07341424811570227,0,0.42857142857142855
17,18,Philadelphia 76ers,2020,65,39,26,East,241.2,40.8,87.7,0.465,11.4,31.6,0.36200000000000004,29.4,56.1,0.523,16.6,22.1,0.752,10.4,35.1,25.9,8.2,5.4,14.2,20.6,109.6,-0.2429271535103403,0.03862236595843591,-0.4215848718121471,0.2208508044790337,-0.13713778914745106,-0.2656148435033864,0.05802438045645198,0.13713778914745106,0.0971985368419076,0.05802438045645198,-0.24292715351034025,-0.24292715351034025,-0.31323001276312334,0.03862236595843579,0.05802438045645198,0.3384089774323282,0.2890109684694045,0.26561484350338715,-0.22085080447903366,-0.03862236595843585,-0.22085080447903366,0,0.6
18,19,Indiana Pacers,2020,65,39,26,East,241.5,42.2,88.4,0.47700000000000004,10.0,27.5,0.363,32.2,60.9,0.529,15.1,19.1,0.787,8.8,34.0,25.9,7.2,5.1,13.1,19.6,109.3,-0.015589453243491397,0.09777328589936472,-0.03583049521508401,0.14610975513900068,-0.163183591283763,-0.4665266186891242,0.023534130980059617,0.46652661869790363,0.16318359128376292,0.04884266936400604,-0.4665266186891242,-0.4665266186891242,0.03583049521508401,-0.1132498731212496,-0.03583049521508401,0.06804014106984148,-0.05810823109538244,0.03166809166596778,-0.09777328589936475,-0.06297768580909759,-0.053404231646981756,0,0.6
19,20,Utah Jazz,2020,64,41,23,West,240.4,40.1,84.6,0.475,13.2,34.4,0.38299999999999995,27.0,50.2,0.537,17.6,22.8,0.772,8.8,36.3,22.2,5.9,4.0,14.9,20.0,111.0,-0.526879542603837,-0.06031295110734279,-0.1842940841781487,0.12790061479820466,0.07112488969349998,0.0311397686316196,0.5268795426137521,-0.09572894129644992,-0.1279006147982046,0.11042187538683394,-0.004380871574297884,-0.013175549887742728,-0.004380871574297884,-0.1279006147982046,0.10280514135860874,-0.11042187538683397,-0.526879542603837,-0.16501146531339375,0.026578659544001848,-0.045255416711097264,-0.013175549887742728,0,0.640625
