,RK,Team,Year,Conf,playoffs_y_n,G,W%,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W_scalnorm,L_scalnorm,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm
10,11,Miami Heat,2020,East,0,65,0.6307692307692307,41,24,243.5,39.6,84.4,0.47,13.4,34.8,0.38299999999999995,26.3,49.6,0.53,19.5,25.1,0.778,8.5,36.0,26.0,7.4,4.5,14.9,20.4,112.2,0.0766882317249339,-0.06019205761833861,0.5258234459542115,-0.10259907496659469,-0.5258234459443162,0.07098232435865537,0.09553705869910516,0.05004789707126797,0.5258234459542115,-0.13799453567229486,-0.15003450510232305,0.07098232435865537,0.10259907496659469,0.1276442461197559,0.022026554889925467,-0.1839246783634759,0.08264942890989044,0.11020054173406439,-0.04038465054111182,-0.06549394844426475,0.026525384304997044,-0.02202655488992548,0.004372090394803723
11,12,Minnesota Timberwolves,2020,West,0,64,0.296875,19,45,243.1,40.4,91.6,0.441,13.3,39.7,0.336,27.1,52.0,0.521,19.1,25.4,0.753,10.5,34.3,23.8,8.7,5.7,15.3,21.4,113.3,-0.3159535439917375,0.1968447991849175,0.3159535439917375,-0.05089114057334279,0.35287468614504397,-0.2878535896867599,0.1585697555442149,0.2878535896867599,-0.2878535896867599,-0.14713270639775308,-0.1585697555442149,-0.033711253546956574,0.1585697555442149,0.2878535896867599,-0.11548343392244627,0.06848034057547295,-0.04225976477326569,-0.07748128751167117,0.2878535896867599,0.22731696001034657,0.1585697555442149,0.07748128751167117,0.11548343392244627
12,13,Boston Celtics,2020,East,1,64,0.671875,43,21,242.0,41.2,89.6,0.45899999999999996,12.4,34.2,0.363,28.8,55.4,0.519,18.3,22.8,0.8009999999999999,10.7,35.3,22.8,8.3,5.6,13.6,21.4,113.0,0.3452267609456871,-0.3708042795678022,0.16840184381469814,0.10456949252948947,0.10456949252948947,-0.074115251057743,0.10456949252948947,0.04424440598313369,0.08925297337656522,0.014711269142058307,-0.014711269142058779,-0.13588682064405422,0.13588682064405422,-0.04424440598313369,0.4294990930047368,0.23884228908217098,0.07411525105774294,-0.3214643926927087,0.2780999209384911,0.2991745677635567,-0.2780999209384911,0.13588682064405422,0.12010094380557787
13,14,Toronto Raptors,2020,East,1,64,0.71875,46,18,241.6,40.6,88.5,0.45799999999999996,13.8,37.0,0.371,26.8,51.5,0.521,18.1,22.6,0.8,9.7,35.5,25.4,8.8,4.9,14.4,21.5,113.0,0.36811621689226787,-0.36811621689226787,0.0,-0.021474325069262456,-0.07624963904597631,-0.1108135782869154,0.3131807377084656,0.2027839867760141,0.2181511285165128,-0.27038184646229196,-0.27038184646229196,-0.04311101048246715,0.07624963904597631,-0.07624963904597631,0.2703818464622919,-0.17415823574255596,0.1108135782869154,0.09908550548136583,0.45126723846701017,-0.032261990609414024,-0.06508118992567573,0.14768384460836456,0.08757481166578163
14,15,Los Angeles Lakers,2020,West,1,63,0.7777777777777778,49,14,240.8,42.9,88.6,0.485,11.2,31.4,0.355,31.8,57.1,0.556,17.3,23.7,0.73,10.6,35.5,25.9,8.6,6.8,15.1,20.6,114.3,0.20510835064375335,-0.20510835064375335,-0.12289297747447149,0.20510835064375324,-0.019594660327398924,0.5863855828870668,-0.05581220373912908,-0.07915777047217001,-0.019594660327398924,0.18364794311586513,0.08552086029370339,0.20510835064375324,-0.019594660327398924,0.0558122037391291,-0.1673148495079837,0.06139121755733947,0.050366586213023375,0.08552086029370339,0.14234577449715138,0.5863855828870668,0.06139121755733947,-0.009760432445986702,0.09216864314344315
15,16,Denver Nuggets,2020,West,0,65,0.6615384615384615,43,22,242.3,41.8,88.9,0.47100000000000003,10.9,30.4,0.358,31.0,58.5,0.529,15.9,20.5,0.775,10.8,33.5,26.5,8.1,4.6,13.7,20.0,110.4,0.26378849337994537,-0.2456316178717377,0.197170131536556,0.15475745953606432,0.011240911660672485,0.2456316178717377,-0.21249673389308255,-0.28333232909894607,0.011240911660671834,0.283332329098946,0.283332329098946,0.14153873568857406,-0.28333232909894607,-0.30462373732571085,0.03380724357176252,0.2456316178717377,-0.12867620268080218,0.3281811593672978,0.11612121761361979,-0.10383140516017327,-0.1824998949091185,-0.11612121761361979,-0.10383140516017327
16,17,San Antonio Spurs,2020,West,0,63,0.42857142857142855,27,36,242.8,42.0,89.5,0.47,10.7,28.7,0.371,31.4,60.8,0.517,18.4,22.8,0.809,8.8,35.6,24.5,7.2,5.5,12.3,19.2,113.2,-0.05910501959093065,0.03223699947494739,0.16128417829175867,0.1398234143519976,0.03223699947494735,0.10388629381742859,-0.1612841782917587,-0.21958323879417807,0.1301282832651729,0.1868139396154359,0.21958323879417807,-0.08809418175176774,0.07324767943381927,-0.019244445267228568,0.2691832558229579,-0.18681393961543585,0.08809418175176774,0.025715942072175306,-0.09585377251054697,0.10388629381742859,-0.7695697414113082,-0.13012828326517292,0.07324767943381927
17,18,Philadelphia 76ers,2020,East,0,65,0.6,39,26,241.2,40.8,87.7,0.465,11.4,31.6,0.36200000000000004,29.4,56.1,0.523,16.6,22.1,0.752,10.4,35.1,25.9,8.2,5.4,14.2,20.6,109.6,0.11486022351798358,-0.1545586743875527,-0.23838058541945328,0.037899518742207726,-0.41369458742818993,0.21671741220080756,-0.13457115018929913,-0.2606436578846201,0.05693840965053479,0.13457115018929913,0.09537939163849783,0.05693840965053479,-0.23838058541945323,-0.23838058541945323,-0.3073676727136141,0.03789951874220761,0.05693840965053479,0.3320753937376671,0.28360190641861394,0.2606436578846208,-0.21671741220080748,-0.03789951874220767,-0.21671741220080748
18,19,Indiana Pacers,2020,East,0,65,0.6,39,26,241.5,42.2,88.4,0.47700000000000004,10.0,27.5,0.363,32.2,60.9,0.529,15.1,19.1,0.787,8.8,34.0,25.9,7.2,5.1,13.1,19.6,109.3,0.023515834273854723,-0.03164347117882198,-0.015577333159425714,0.09769727165909796,-0.0358026386503066,0.1459961615133974,-0.16305672353454767,-0.4661639156649017,0.023515834273854723,0.4661639156736742,0.16305672353454762,0.04880469643131635,-0.4661639156649017,-0.4661639156649017,0.0358026386503066,-0.1131618265450664,-0.0358026386503066,0.06798724298440338,-0.058063054613899476,0.03164347117882199,-0.09769727165909797,-0.06292872355016864,-0.0533627123090733
19,20,Utah Jazz,2020,West,0,64,0.640625,41,23,240.4,40.1,84.6,0.475,13.2,34.4,0.38299999999999995,27.0,50.2,0.537,17.6,22.8,0.772,8.8,36.3,22.2,5.9,4.0,14.9,20.0,111.0,0.07635652805211697,-0.08229194095497233,-0.5235490739272565,-0.0599317057216092,-0.18312913920495594,0.12709213969743366,0.07067530074935766,0.030942930425469025,0.5235490739371089,-0.09512382719607239,-0.1270921396974336,0.10972388549076077,-0.004353179560517626,-0.013092265659281337,-0.004353179560517626,-0.1270921396974336,0.10215529775034451,-0.1097238854907608,-0.5235490739272565,-0.16396840808291757,0.0264106526545346,-0.04496935180324936,-0.013092265659281337
20,21,Oklahoma City Thunder,2020,West,0,64,0.625,40,24,241.6,40.3,85.1,0.473,10.4,29.3,0.355,29.9,55.8,0.536,19.8,24.8,0.797,8.1,34.6,21.9,7.6,5.0,13.5,18.8,110.8,0.07387918390651195,-0.08885368526402178,0.0,-0.06667076438994607,-0.22147637450166704,0.16267468896394774,-0.20370333771486288,-0.18842455498701335,-0.02593765192788153,0.12200457392859008,0.006453946903575968,0.14102890116377065,0.20370333771486274,0.151453634851056,0.12200457392859008,-0.7762045827811198,0.0,-0.22147637450166704,-0.019410361148177735,0.006453946903575927,-0.14102890116377065,-0.20370333771486288,-0.03915596578352165
21,22,Brooklyn Nets,2020,East,0,64,0.46875,30,34,243.1,40.0,90.0,0.444,12.9,37.9,0.34,27.1,52.2,0.519,18.0,24.1,0.7440000000000001,10.8,37.6,24.0,6.5,4.6,15.5,20.7,110.8,-0.010278533571497274,-0.010278533571497274,0.38715489763643746,-0.18028963107906695,0.12942105501390036,-0.25907514839057166,0.1415080725922107,0.2590751483905716,-0.25907514839057166,-0.18028963107906695,-0.1668753703652785,-0.09494199544761205,0.051783166278905404,0.19430406350359178,-0.22460214142140178,0.22460214142140178,0.43239636203146115,-0.03091287419577124,-0.30008429617779453,-0.09494199544761205,0.27854371649692067,0.010278533571497274,-0.06235965601256027
22,23,Detroit Pistons,2020,East,0,66,0.30303030303030304,20,46,241.9,39.3,85.7,0.45899999999999996,12.0,32.7,0.36700000000000005,27.3,53.0,0.515,16.6,22.4,0.743,9.8,32.0,24.1,7.4,4.5,15.3,19.7,107.2,-0.31464795843887267,0.3664675020423538,0.07044258150953256,-0.33898058207661236,-0.33898058207661236,-0.05849518975359258,-0.046662497617785736,-0.05849518975359258,0.15985004689291232,-0.15985004689291232,-0.13291053687615487,-0.18850539965329324,-0.14619633589752495,-0.10724817423061175,-0.29265591609295033,-0.14619633589752495,-0.33898058207661236,0.011610815152072495,-0.10724817423061175,-0.1739301021473648,0.21948934144582688,-0.15985004689291232,-0.21948934144582688
23,24,New York Knicks,2020,East,0,66,0.3181818181818182,21,45,241.9,40.0,89.3,0.447,9.6,28.4,0.337,30.4,61.0,0.499,16.3,23.5,0.6940000000000001,12.0,34.5,22.1,7.6,4.7,14.3,22.2,105.8,-0.0838695511429045,0.09006911540187602,0.023285959457468447,-0.06732264589566539,0.01154329547763324,-0.07805417110593439,-0.46160701399297077,-0.16146279180554557,-0.1120556334244632,0.0838695511429045,0.4616070140016576,-0.1120556334244632,-0.06231357511005563,0.035452656383462934,-0.46160701399297077,0.4616070140016576,-0.01154329547763324,-0.1120556334244632,-0.01154329547763324,-0.019336551669032087,-0.035452656383462934,0.1317114716553181,-0.16146279180554557
24,25,Sacramento Kings,2020,West,0,64,0.4375,28,36,242.3,40.4,87.8,0.45899999999999996,12.6,34.7,0.364,27.7,53.2,0.522,15.6,20.3,0.769,9.6,32.9,23.4,7.6,4.2,14.4,21.9,109.0,-0.08103669906729377,0.0672924953538885,0.23428731832268365,-0.08103669906729377,-0.23428731832268365,-0.06729249535388845,0.13798098354474003,0.12337761953636908,0.12337761953636908,-0.12337761953636908,-0.12337761953636908,0.0,-0.38996111202541867,-0.4583647460065955,-0.06729249535388845,-0.252499146539895,-0.3134465562138657,-0.18389048028003893,-0.04017144166098768,-0.2918716572228991,-0.08103669906729377,0.2918716572228991,-0.21685541638187522
25,26,Cleveland Cavaliers,2020,East,0,65,0.2923076923076923,19,46,241.9,40.3,87.9,0.45799999999999996,11.2,31.8,0.35100000000000003,29.1,56.1,0.519,15.1,19.9,0.758,10.8,33.4,23.1,6.9,3.2,16.5,18.3,106.9,-0.16452636221623043,0.13786519939333766,0.026500523215482144,-0.045122374181184116,-0.06013564221958966,-0.045122374181184116,-0.050000989353181216,-0.040346799763887026,-0.06013564221958966,0.013136816215235578,0.02200591035763421,-0.040346799763887026,-0.5253306144886682,-0.18375229375859264,-0.040346799763887026,0.09544751596747125,-0.06543256381374499,-0.08257196519336675,-0.09544751596747125,-0.5253306144886682,0.5253306144985542,-0.18375229375859264,-0.09544751596747125
26,27,Chicago Bulls,2020,East,0,65,0.3384615384615385,22,43,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,23.2,10.0,4.1,15.5,21.8,106.8,-0.09847537672703617,0.09847537672703617,-0.06559197434730295,-0.12224503777511017,-0.020935444981823943,-0.10593792392404379,0.010428300009163213,0.07171780408070126,-0.09137271254320062,-0.05963121080803093,-0.037028130523179936,-0.12224503777511017,-0.17876353904530906,-0.1411689334869519,-0.05963121080803093,0.04252782829500596,-0.6265096155441,-0.08457422179892146,0.62650961555589,-0.1411689334869519,0.1411689334869519,0.09847537672703617,-0.1313020550283177
27,28,Orlando Magic,2020,East,0,65,0.46153846153846156,30,35,240.4,39.2,88.8,0.442,10.9,32.0,0.341,28.3,56.8,0.498,17.0,22.1,0.77,10.4,34.2,24.0,8.4,5.7,12.6,17.6,106.4,-0.005178018383435244,0.005178018383435244,-0.6227509551899759,-0.1776910711847975,-0.005178018383435244,-0.1511735104409936,-0.09788458692081764,-0.03680598522367972,-0.11314785413202941,-0.02608681336491439,0.059273461361938395,-0.1776910711847975,-0.03680598522367972,-0.06519846410035512,-0.015572983223443169,0.010365736822848292,-0.03680598522367972,-0.015572983223443169,0.11314785413202941,0.14032200941688702,-0.21782837950134545,-0.6227509551899759,-0.1511735104409936
28,29,Golden State Warriors,2020,West,0,65,0.23076923076923078,15,50,241.9,38.6,88.2,0.43799999999999994,10.4,31.3,0.33399999999999996,28.2,56.9,0.495,18.7,23.2,0.8029999999999999,10.0,32.9,25.6,8.2,4.6,14.9,20.1,106.3,-0.5901355332035432,0.5901355332146487,0.029769634524657564,-0.20642002362674083,-0.056169124164532735,-0.20642002362674083,-0.1548722855860805,-0.09275806389940179,-0.20642002362674083,-0.03487834026433877,0.06755399039581493,-0.20642002362674083,0.07966398637511102,0.01971996866556064,0.16838483211504693,-0.03487834026433877,-0.11514769886851625,0.05616912416453275,0.07350434159007536,-0.045323991282886986,0.029769634524657564,-0.03487834026433877,-0.16838483211504693
29,30,Charlotte Hornets,2020,East,0,65,0.35384615384615387,23,42,242.3,37.3,85.9,0.434,12.1,34.3,0.35200000000000004,25.2,51.6,0.489,16.2,21.6,0.748,11.0,31.8,23.8,6.6,4.1,14.6,18.8,102.9,-0.057341344045899634,0.05734134404589963,0.06195072251215881,-0.4247736798381831,-0.08902282694617034,-0.4247736798381831,-0.003531886871744059,0.017793616558783466,-0.036485208353282526,-0.4247736798381831,-0.077177288874321,-0.4247736798381831,-0.0718259395596875,-0.06676633064836039,-0.06676633064836039,0.11147552884374323,-0.12120172526837725,-0.03262375755900347,-0.08902282694617034,-0.09571257306882203,-0.010622213157203879,-0.1114755288437433,-0.4247736798381831
