,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
10,11,Miami Heat,2020,East,0,65,41,24,243.5,39.6,84.4,0.47,13.4,34.8,0.38299999999999995,26.3,49.6,0.53,19.5,25.1,0.778,8.5,36.0,26.0,7.4,4.5,14.9,20.4,112.2,0.6307692307692307,0.5270014721200222,-0.10282893233759742,-0.5270014721101048,0.07114134928621983,0.09575109471407957,0.050160021649864446,0.5270014721200222,-0.13830369110271862,-0.15037063422350416,0.07114134928621983,0.10282893233759742,0.1279302133260515,0.022075901982001045,-0.18433673318019736,0.08283459218207676,0.11044742901656979,-0.040475126109290833,-0.06564067751380936,0.02658481032909296,-0.02207590198200106,0.0043818853876363886,0.07114134928621983
11,12,Minnesota Timberwolves,2020,West,0,64,19,45,243.1,40.4,91.6,0.441,13.3,39.7,0.336,27.1,52.0,0.521,19.1,25.4,0.753,10.5,34.3,23.8,8.7,5.7,15.3,21.4,113.3,0.296875,0.3251409318319194,-0.05237096776619348,0.36313567755421705,-0.29622387899014563,0.16318069241012845,0.29622387899014563,-0.29622387899014563,-0.15141107346581523,-0.16318069241012845,-0.03469151905371949,0.16318069241012845,0.29622387899014563,-0.11884149436119634,0.070471631574605,-0.043488606343142194,-0.07973431062935135,0.29622387899014563,0.23392694782020257,0.16318069241012845,0.07973431062935135,0.11884149436119634,-0.29622387899014563
12,13,Boston Celtics,2020,East,1,64,43,21,242.0,41.2,89.6,0.45899999999999996,12.4,34.2,0.363,28.8,55.4,0.519,18.3,22.8,0.8009999999999999,10.7,35.3,22.8,8.3,5.6,13.6,21.4,113.0,0.671875,0.17943354296532257,0.11141965019871394,0.11141965019871394,-0.07897040664049118,0.11141965019871394,0.047142776718558016,0.09509977367450248,0.015674977683620528,-0.01567497768362103,-0.14478851963928355,0.14478851963928355,-0.047142776718558016,0.45763479907638716,0.25448841395774086,0.07897040664049113,-0.3425229416224125,0.2963177420270872,0.31877295071663936,-0.2963177420270872,0.14478851963928355,0.12796853865939115,0.3950949949382178
13,14,Toronto Raptors,2020,East,1,64,46,18,241.6,40.6,88.5,0.45799999999999996,13.8,37.0,0.371,26.8,51.5,0.521,18.1,22.6,0.8,9.7,35.5,25.4,8.8,4.9,14.4,21.5,113.0,0.71875,0.0,-0.023096141029905027,-0.08200827784832014,-0.11918260638637722,0.33683323981706154,0.21809894104141342,0.2346266629474732,-0.29080202696371416,-0.29080202696371416,-0.04636690442345869,0.08200827784832014,-0.08200827784832014,0.2908020269637141,-0.18731127340467651,0.11918260638637722,0.10656878859921497,0.4853485149448665,-0.034698528713577384,-0.06999634847983915,0.15883744387364426,0.0941887670218514,0.39591763807787667
14,15,Los Angeles Lakers,2020,West,1,63,49,14,240.8,42.9,88.6,0.485,11.2,31.4,0.355,31.8,57.1,0.556,17.3,23.7,0.73,10.6,35.5,25.9,8.6,6.8,15.1,20.6,114.3,0.7777777777777778,-0.125562528107035,0.209563830024736,-0.020020306600659253,0.5991233815464528,-0.05702458793600075,-0.0808772802487168,-0.020020306600659253,0.18763724740964208,0.08737859269946152,0.209563830024736,-0.020020306600659253,0.05702458793600077,-0.17094935712200982,0.06272479224184968,0.051460677631818816,0.08737859269946152,0.14543788976818509,0.5991233815464528,0.06272479224184968,-0.009972454069563116,0.094170782441087,0.20956383002473636
15,16,Denver Nuggets,2020,West,0,65,43,22,242.3,41.8,88.9,0.47100000000000003,10.9,30.4,0.358,31.0,58.5,0.529,15.9,20.5,0.775,10.8,33.5,26.5,8.1,4.6,13.7,20.0,110.4,0.6615384615384615,0.20441023017117682,0.16044016240161832,0.011653678587042563,0.25465122508766713,-0.22029962625274732,-0.2937363086118009,0.011653678587041888,0.29373630861180083,0.29373630861180083,0.1467360462498586,-0.2937363086118009,-0.3158095385801776,0.03504864751117629,0.25465122508766713,-0.1334012002860543,0.3402319905217261,0.12038519544100691,-0.10764410036340974,-0.18920130160623264,-0.12038519544100691,-0.10764410036340974,0.25465122508766713
16,17,San Antonio Spurs,2020,West,0,63,27,36,242.8,42.0,89.5,0.47,10.7,28.7,0.371,31.4,60.8,0.517,18.4,22.8,0.809,8.8,35.6,24.5,7.2,5.5,12.3,19.2,113.2,0.42857142857142855,0.16136804887302114,0.13989612496230058,0.03225376327603906,0.10394031649925614,-0.1613680488730212,-0.2196974259021029,0.13019595223848282,0.18691108611715376,0.2196974259021029,-0.08813999226032239,0.07328576950263636,-0.019254452713884103,0.2693232358034564,-0.1869110861171537,0.08813999226032239,0.025729314809861976,-0.0959036181414192,0.10394031649925614,-0.7699699310778819,-0.13019595223848285,0.07328576950263636,-0.05913575523035373
17,18,Philadelphia 76ers,2020,East,0,65,39,26,241.2,40.8,87.7,0.465,11.4,31.6,0.36200000000000004,29.4,56.1,0.523,16.6,22.1,0.752,10.4,35.1,25.9,8.2,5.4,14.2,20.6,109.6,0.6,-0.24067453953559081,0.03826422863192186,-0.4176756012342634,0.21880289998867397,-0.1358661383836897,-0.26315185120412843,0.05748633220452274,0.1358661383836897,0.09629723462331488,0.05748633220452274,-0.24067453953559076,-0.24067453953559076,-0.3103254947054862,0.03826422863192174,0.05748633220452274,0.3352709799679472,0.2863310286725454,0.26315185120412915,-0.21880289998867392,-0.0382642286319218,-0.21880289998867392,0.1358661383836897
18,19,Indiana Pacers,2020,East,0,65,39,26,241.5,42.2,88.4,0.47700000000000004,10.0,27.5,0.363,32.2,60.9,0.529,15.1,19.1,0.787,8.8,34.0,25.9,7.2,5.1,13.1,19.6,109.3,0.6,-0.015583530617754927,0.09773614062105623,-0.03581688276763016,0.14605424623932217,-0.16312159582295938,-0.46634937946748894,0.023525190073175273,0.466349379476265,0.1631215958229593,0.04882411343095983,-0.46634937946748894,-0.46634937946748894,0.03581688276763016,-0.11320684809639955,-0.03581688276763016,0.06801429178030456,-0.058086155061052636,0.031656060567006435,-0.09773614062105625,-0.0629537598088094,-0.05338394272011251,0.027562299546399622
19,20,Utah Jazz,2020,West,0,64,41,23,240.4,40.1,84.6,0.475,13.2,34.4,0.38299999999999995,27.0,50.2,0.537,17.6,22.8,0.772,8.8,36.3,22.2,5.9,4.0,14.9,20.0,111.0,0.640625,-0.5250820094764909,-0.060107183908472875,-0.183665335679304,0.12746426156465243,0.07088223585127434,0.031033530371890244,0.5250820094863722,-0.09540234682976075,-0.12746426156465238,0.11004515364506619,-0.0043659255360772075,-0.01313059940954201,-0.0043659255360772075,-0.12746426156465238,0.10245440531305963,-0.11004515364506622,-0.5250820094764909,-0.1644485025272,0.026487982231357125,-0.0451010206790782,-0.01313059940954201,0.08253288922130983
